Player ID;Group name;League ID;Description;Session ID;Types;Session end (Local timezone);Session end date (Local timezone);Session end date (UTC);Session end time (Local timezone);Session end time (UTC);Session end (UTC);Session begin (Local timezone);Session begin date (Local timezone);Session begin date (UTC);Session begin time (Local timezone);Session begin time (UTC);Session begin (UTC);Distance (m);Distance (speed | very slow) (m);Distance (speed | slow) (m);Distance (speed | moderate) (m);Distance (speed | fast) (m);Distance (speed | very fast) (m);Distance (speed | sprint) (m);Distance / min (m);Distance / min (speed | very slow) (m);Distance / min (speed | slow) (m);Distance / min (speed | moderate) (m);Distance / min (speed | fast) (m);Distance / min (speed | very fast) (m);Distance / min (speed | sprint) (m);Duration (s);Position;Speed (Ø) (km/h);Speed (max.) (km/h);Speed (% of max.) (%);Time on Ice (s);Time (s);Time (speed | very slow) (s);Time (speed | slow) (s);Time (speed | moderate) (s);Time (speed | fast) (s);Time (speed | very fast) (s);Time (speed | sprint) (s);Accumulated Acceleration Load;Acceleration Load (load | very low);Acceleration Load (load | low);Acceleration Load (load | medium);Acceleration Load (load | high);Acceleration Load (load | very high);Acceleration Load (load | near max);Acceleration Load (load | max);Accumulated Acceleration Load / min;Acceleration Load / min;Acceleration Load (max.);Acceleration Load (time | high) (s);Acceleration Load (time | low) (s);Acceleration Load (time | max) (s);Acceleration Load (time | medium) (s);Acceleration Load (time | near max) (s);Acceleration Load (time | very high) (s);Acceleration Load (time | very low) (s);Acceleration (max.) (m/s²);Deceleration (max.) (m/s²);Anaerobic Activity (distance) (m);Anaerobic Activity (time) (s);High Speed and Acceleration Distance (m);High Speed and Acceleration Distance / min (m);High Metabolic Power Distance (m);High Metabolic Power Distance / min (m);High Speed and Acceleration Time (s);Accels Load;Accel 1;Accel 2;Accel 3;Accel 4;Accels Load / min;Accel 1 / min;Accel 2 / min;Accel 3 / min;Accel 4 / min;Decels Load;Decel 1;Decel 2;Decel 3;Decel 4;Decels Load / min;Decel 1 / min;Decel 2 / min;Decel 3 / min;Decel 4 / min;Mechanical Intensity;Mechanical Intensity (def.);Mechanical Intensity (off.);Mechanical Load;Mechanical Load (def.);Mechanical Load (off.);Metabolic Power (Ø) (W);Metabolic Power (max.) (W);Metabolic Power per mass (Ø) (W/kg);Metabolic Power per mass (max.) (W/kg);Metabolic Power (time | high) (s);Metabolic Power (time | low) (s);Metabolic Power (time | medium) (s);Metabolic Power (time | very high) (s);Metabolic Power (time | very low) (s);Metabolic Work (kcal);Metabolic Work / min (kcal);Physio Intensity;Physio Load;Heart Rate Recoveries;Heart Rate Recoveries / min;Heart Rate (Ø) (bpm);Heart Rate (max.) (bpm);Heart Rate (min.) (bpm);Heart rate (% of max.) (%);Heart Rate (% of HRR) (%);Heart Rate (time | 0 - 50%) (s);Heart Rate (time | 50 - 60%) (s);Heart Rate (time | 60 - 70%) (s);Heart Rate (time | 70 - 80%) (s);Heart Rate (time | 80 - 90%) (s);Heart Rate (time | ? 90%) (s);Human Core Temperature (Ø) (°C);Human Core Temperature (max.) (°C);Activation Gluteus (total);Activation Hamstrings (total);Muscle Load (total);Activation Quadrizeps (total);TRIMP;Accelerations;Accelerations (low);Accelerations (medium);Accelerations (high);Accelerations (very high);Accelerations (near max);Accelerations (max);Accelerations / min;Accelerations / min (low);Accelerations / min (medium);Accelerations / min (high);Accelerations / min (very high);Accelerations / min (near max);Accelerations / min (max);Changes of Direction;Changes of Direction (left);Changes of Direction (right);Changes of Direction / min;Changes of Direction / min (left);Changes of Direction / min (right);Changes of Orientation;Changes of Orientation / min;Changes of Pace;Changes of Pace (low);Changes of Pace (medium);Changes of Pace (high);Changes of Pace (very high);Changes of Pace / min;Changes of Pace / min (low);Changes of Pace / min (medium);Changes of Pace / min (high);Changes of Pace / min (very high);Decelerations;Decelerations (low);Decelerations (medium);Decelerations (high);Decelerations (very high);Decelerations / min;Decelerations / min (low);Decelerations / min (medium);Decelerations / min (high);Decelerations / min (very high);Down on Pads;Down on Pads / min;Exertions;Exertions (low);Exertions (medium);Exertions (high);Exertions (very high);Exertions / min;Exertions / min (low);Exertions / min (medium);Exertions / min (high);Exertions / min (very high);Impacts;Impacts / min;Shifts;Shifts / min;Skating Transitions;Skating Transitions (left);Skating Transitions (right);Skating Transitions / min;Skating Transitions / min (left);Skating Transitions / min (right);Speed Zone Entries;Speed Zone Entries (very slow);Speed Zone Entries (slow);Speed Zone Entries (moderate);Speed Zone Entries (fast);Speed Zone Entries (very fast);Speed Zone Entries (sprint);Speed Zone Entries / min;Speed Zone Entries / min (very slow);Speed Zone Entries / min (slow);Speed Zone Entries / min (moderate);Speed Zone Entries / min (fast);Speed Zone Entries / min (very fast);Speed Zone Entries / min (sprint);Sprints;Sprints (low);Sprints (medium);Sprints (high);Sprints (very high);Sprints (near max);Sprints / min;Sprints / min (low);Sprints / min (medium);Sprints / min (high);Sprints / min (very high);Sprints / min (near max);Turns;Sharp Turns;Wide Turns;Turns / min;Sharp Turns / min;Wide Turns / min
1;Defense;;vs Zurich;234;Match;10.12.2022 21:52;10.12.2022;10.12.2022;21:52:45;20:52:45;10.12.2022 20:52;10.12.2022 19:41;10.12.2022;10.12.2022;19:41:37;18:41:37;10.12.2022 18:41;3140;938;527;553;633;300;190;165;49;28;29;33;16;10;7868;D;9.88;31.61;63;1144;1144;648;160;137;121;50;28;195.34;24.65;32.05;35.32;32.14;25.05;18.5;27.63;10.24;1.71;19.83;146;233;73;195;70;98;329;3.69;-5.72;185;39;986;52;1223;64;216;495.9;157.05;159.79;177.4;1.67;26;8.23;8.38;9.3;0.09;240.62;70.61;68.74;77.26;24;12.62;3.7;3.6;4.05;1.26;38.62;;;736.52;0;0;303.33;1637.59;3.3;17.8;158;383;230;98;275;82.61;4.33;35.3;672.8;0;0;;;;0;0;;;;;;;;;;;;;0;83;80;3;0;0;0;0;4.35;4.19;0.16;0;0;0;0;14;7;7;0.73;0.37;0.37;14;0.73;25;25;0;0;0;1.31;1.31;0;0;0;80;23;14;17;26;4.19;1.21;0.73;0.89;1.36;0;0;26;0;0;0;26;1.36;0;0;0;1.36;7;0.37;23;1.21;86;46;40;4.51;2.41;2.1;139;0;43;33;29;22;12;7.29;0;2.25;1.73;1.52;1.15;0.63;19;9;6;3;1;0;1;0.47;0.31;0.16;0.05;0;33;9;24;1.73;0.47;1.26
2;Offense;;vs Zurich;234;Match;10.12.2022 21:52;10.12.2022;10.12.2022;21:52:45;20:52:45;10.12.2022 20:52;10.12.2022 19:41;10.12.2022;10.12.2022;19:41:37;18:41:37;10.12.2022 18:41;3037;384;382;565;806;537;362;219;28;28;41;58;39;26;7868;F;13.13;30.31;61;832;832;254;112;136;173;102;55;151.7;15.08;24.73;27.77;24.02;20.95;16.1;23.05;10.94;1.91;10.64;117;182;72;139;62;89;172;3.74;-5.33;156;37;1164;84;1359;98;201;284.25;102.77;114.75;61.71;5.02;20.49;7.41;8.27;4.45;0.36;127.34;45.72;31.28;36.88;13.46;9.18;3.3;2.25;2.66;0.97;29.67;;;411.59;0;0;403.49;1454.93;4.48;16.17;208;178;243;104;100;69.19;4.99;45.9;636.4;0;0;;;;0;0;;;;;;;;;;;;;0;41;41;0;0;0;0;0;2.96;2.96;0;0;0;0;0;8;4;4;0.58;0.29;0.29;11;0.79;10;10;0;0;0;0.72;0.72;0;0;0;39;7;6;15;11;2.81;0.5;0.43;1.08;0.79;0;0;38;0;0;0;38;2.74;0;0;0;2.74;0;0;19;1.37;37;18;19;2.67;1.3;1.37;83;0;5;17;24;24;13;5.98;0;0.36;1.23;1.73;1.73;0.94;30;15;12;3;0;0;2.16;1.08;0.87;0.22;0;0;52;7;45;3.75;0.5;3.24
3;Offense;;vs Zurich;234;Match;10.12.2022 21:52;10.12.2022;10.12.2022;21:52:45;20:52:45;10.12.2022 20:52;10.12.2022 19:41;10.12.2022;10.12.2022;19:41:37;18:41:37;10.12.2022 18:41;4872;1081;546;738;1234;590;684;210;47;24;32;53;25;29;7868;F;12.59;32.79;66;1394;1394;588;169;187;249;100;100;237.45;26.97;45.16;44.64;46.45;34.63;22.92;16.68;10.22;1.72;13.86;209;316;53;249;95;143;327;3.68;-6.3;76;18;1967;85;2227;96;364;588.74;233.73;191.26;159.4;4.35;25.35;10.06;8.23;6.86;0.19;271.61;92.61;67.11;83.21;28.68;11.69;3.99;2.89;3.58;1.23;37.04;;;860.35;0;0;357.94;1627.92;4.11;18.71;281;473;334;160;145;114.4;4.93;42.5;987.2;0;0;;;;0;0;;;;;;;;;;;;;0;93;90;3;0;0;0;0;4;3.87;0.13;0;0;0;0;15;12;3;0.65;0.52;0.13;4;0.17;31;29;1;1;0;1.33;1.25;0.04;0.04;0;86;21;21;17;27;3.7;0.9;0.9;0.73;1.16;0;0;18;0;0;0;18;0.77;0;0;0;0.77;1;0.04;27;1.16;86;32;54;3.7;1.38;2.32;169;0;26;33;50;30;30;7.28;0;1.12;1.42;2.15;1.29;1.29;32;10;7;13;2;0;1.38;0.43;0.3;0.56;0.09;0;69;7;62;2.97;0.3;2.67
4;Guest_Team D;;vs Zurich;234;Match;10.12.2022 21:52;10.12.2022;10.12.2022;21:52:45;20:52:45;10.12.2022 20:52;10.12.2022 19:41;10.12.2022;10.12.2022;19:41:37;18:41:37;10.12.2022 18:41;5364;872;740;883;1472;767;629;219;36;30;36;60;31;26;7868;D;13.16;32.3;65;1467;1467;540;215;211;286;126;90;281.61;32.66;40.9;45.05;42.93;39.01;31.79;49.25;11.52;1.92;10.27;199;289;140;254;111;150;325;4.31;-6.69;348;75;2196;90;2564;105;423;632.73;232.15;227.69;166.36;6.53;25.87;9.49;9.31;6.8;0.27;341.76;127.66;79;99.56;35.54;13.98;5.22;3.23;4.07;1.45;39.85;;;974.49;0;0;0;0;4.08;21.56;311;381;422;147;207;0;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;0;99;95;4;0;0;0;0;4.05;3.88;0.16;0;0;0;0;21;17;4;0.86;0.7;0.16;28;1.14;37;35;2;0;0;1.51;1.43;0.08;0;0;111;22;25;25;39;4.54;0.9;1.02;1.02;1.59;0;0;54;0;0;0;54;2.21;0;0;0;2.21;3;0.12;24;0.98;98;42;56;4.01;1.72;2.29;189;0;34;33;49;44;29;7.73;0;1.39;1.35;2;1.8;1.19;37;17;11;6;3;0;1.51;0.7;0.45;0.25;0.12;0;99;12;87;4.05;0.49;3.56
5;Guest_Team D;;vs Zurich;234;Match;10.12.2022 21:52;10.12.2022;10.12.2022;21:52:45;20:52:45;10.12.2022 20:52;10.12.2022 19:41;10.12.2022;10.12.2022;19:41:37;18:41:37;10.12.2022 18:41;4131;806;634;765;1023;466;437;212;41;32;39;52;24;22;7868;D;12.7;32.58;65;1171;1171;464;188;183;203;75;58;194.79;31.45;36.3;36.46;30.69;23.55;18.75;17.59;9.98;1.68;8.62;148;260;53;208;70;95;337;4.14;-6.92;104;23;1384;71;1644;84;252;472.15;168.17;161.02;136.77;6.19;24.19;8.62;8.25;7.01;0.32;251.16;91.23;72.57;72.32;15.04;12.87;4.67;3.72;3.71;0.77;37.06;;;723.31;0;0;0;0;3.95;21.22;203;372;330;117;148;0;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;0;75;71;4;0;0;0;0;3.84;3.64;0.2;0;0;0;0;23;10;13;1.18;0.51;0.67;5;0.26;21;21;0;0;0;1.08;1.08;0;0;0;82;27;14;22;19;4.2;1.38;0.72;1.13;0.97;0;0;15;0;0;0;15;0.77;0;0;0;0.77;5;0.26;22;1.13;70;29;41;3.59;1.49;2.1;156;0;27;32;54;25;18;7.99;0;1.38;1.64;2.77;1.28;0.92;22;5;11;2;4;0;1.13;0.26;0.56;0.1;0.2;0;67;16;51;3.43;0.82;2.61
6;Guest_Team D;;vs Zurich;234;Match;10.12.2022 21:52;10.12.2022;10.12.2022;21:52:45;20:52:45;10.12.2022 20:52;10.12.2022 19:41;10.12.2022;10.12.2022;19:41:37;18:41:37;10.12.2022 18:41;4161;853;736;900;1034;360;279;208;43;37;45;52;18;14;7868;D;12.5;29.62;59;1198;1198;460;227;220;200;53;37;191.76;29.25;30.38;30.09;27.46;23.95;17.93;32.71;9.6;1.66;15.41;123;256;101;164;60;97;397;3.68;-5.06;221;50;1063;53;1433;72;180;404.57;181.34;119.01;102.04;2.18;20.25;9.08;5.96;5.11;0.11;174.05;78.4;39.54;40.89;15.22;8.71;3.93;1.98;2.05;0.76;28.97;;;578.62;0;0;0;0;3.83;20.38;220;420;385;81;92;0;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;0;61;60;1;0;0;0;0;3.05;3;0.05;0;0;0;0;17;6;11;0.85;0.3;0.55;11;0.55;21;21;0;0;0;1.05;1.05;0;0;0;43;9;8;10;16;2.15;0.45;0.4;0.5;0.8;0;0;31;0;0;0;31;1.55;0;0;0;1.55;3;0.15;22;1.1;57;27;30;2.85;1.35;1.5;133;0;32;32;38;20;11;6.66;0;1.6;1.6;1.9;1;0.55;16;7;6;3;0;0;0.8;0.35;0.3;0.15;0;0;68;11;57;3.4;0.55;2.85
7;Guest_Team D;;vs Zurich;234;Match;10.12.2022 21:52;10.12.2022;10.12.2022;21:52:45;20:52:45;10.12.2022 20:52;10.12.2022 19:41;10.12.2022;10.12.2022;19:41:37;18:41:37;10.12.2022 18:41;4280;1009;627;779;881;594;390;189;45;28;34;39;26;17;7868;D;11.36;30.24;60;1357;1357;662;184;186;171;99;55;205.65;37.15;37.03;35.87;32.83;24.86;16.08;21.84;9.09;1.54;9.29;160;286;65;216;60;105;466;4.15;-6.93;140;33;1496;66;1652;73;292;544.87;200.17;159.03;178.15;7.52;24.1;8.85;7.03;7.88;0.33;261.83;93.95;65.61;86.55;15.73;11.58;4.15;2.9;3.83;0.7;35.67;;;806.71;0;0;0;0;3.56;19.07;221;463;312;117;244;0;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;0;90;84;5;1;0;0;0;3.98;3.71;0.22;0.04;0;0;0;15;6;9;0.66;0.27;0.4;10;0.44;31;30;1;0;0;1.37;1.33;0.04;0;0;84;18;20;29;17;3.71;0.8;0.88;1.28;0.75;0;0;30;0;0;0;30;1.33;0;0;0;1.33;3;0.13;26;1.15;66;38;28;2.92;1.68;1.24;152;0;29;33;40;24;26;6.72;0;1.28;1.46;1.77;1.06;1.15;34;17;13;4;0;0;1.5;0.75;0.57;0.18;0;0;43;3;40;1.9;0.13;1.77
8;Guest_Team D;;vs Zurich;234;Match;10.12.2022 21:52;10.12.2022;10.12.2022;21:52:45;20:52:45;10.12.2022 20:52;10.12.2022 19:41;10.12.2022;10.12.2022;19:41:37;18:41:37;10.12.2022 18:41;3185;601;497;541;830;476;241;201;38;31;34;52;30;15;7868;D;12.05;30.78;62;952;952;393;149;132;163;82;33;168.64;19.81;32.09;34.91;27.02;18.29;15.05;21.48;10.63;1.79;15.26;130;227;59;198;50;79;207;3.87;-5.51;125;29;1082;68;1297;82;204;363.49;149.24;121.34;89.23;3.68;22.92;9.41;7.65;5.63;0.23;175.59;71.93;43.17;49.12;11.38;11.07;4.54;2.72;3.1;0.72;33.99;;;539.08;0;0;0;0;3.79;22.75;175;270;269;80;158;0;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;0;52;51;1;0;0;0;0;3.28;3.22;0.06;0;0;0;0;11;2;9;0.69;0.13;0.57;6;0.38;17;17;0;0;0;1.07;1.07;0;0;0;52;14;12;14;12;3.28;0.88;0.76;0.88;0.76;0;0;23;0;0;0;23;1.45;0;0;0;1.45;6;0.38;19;1.2;61;29;32;3.85;1.83;2.02;109;0;21;26;26;23;13;6.87;0;1.32;1.64;1.64;1.45;0.82;25;14;10;1;0;0;1.58;0.88;0.63;0.06;0;0;46;8;38;2.9;0.5;2.4
9;Guest_Team D;;vs Zurich;234;Match;10.12.2022 21:52;10.12.2022;10.12.2022;21:52:45;20:52:45;10.12.2022 20:52;10.12.2022 19:41;10.12.2022;10.12.2022;19:41:37;18:41:37;10.12.2022 18:41;1476;227;141;356;413;240;99;223;34;21;54;62;36;15;7868;D;13.4;26.75;53;397;397;130;44;85;84;38;15;74.49;5.98;11.83;15.46;17.3;12.17;6.86;4.88;11.27;1.92;7.99;82;83;15;86;24;48;56;3.14;-5.5;29;6;510;77;680;103;94;166.58;59.69;65.24;41.65;0;25.21;9.03;9.87;6.3;0;80.78;26.89;20.24;27.3;6.36;12.22;4.07;3.06;4.13;0.96;37.43;;;247.37;0;0;0;0;4.23;17.28;95;104;107;40;50;0;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;0;26;26;0;0;0;0;0;3.93;3.93;0;0;0;0;0;9;4;5;1.36;0.61;0.76;3;0.45;7;7;0;0;0;1.06;1.06;0;0;0;27;4;9;7;7;4.09;0.61;1.36;1.06;1.06;0;0;8;0;0;0;8;1.21;0;0;0;1.21;1;0.15;11;1.66;35;18;17;5.3;2.72;2.57;52;0;4;10;19;12;7;7.87;0;0.61;1.51;2.87;1.82;1.06;15;10;5;0;0;0;2.27;1.51;0.76;0;0;0;23;7;16;3.48;1.06;2.42
10;Guest_Team D;;vs Zurich;234;Match;10.12.2022 21:52;10.12.2022;10.12.2022;21:52:45;20:52:45;10.12.2022 20:52;10.12.2022 19:41;10.12.2022;10.12.2022;19:41:37;18:41:37;10.12.2022 18:41;1792;383;307;352;432;164;155;199;43;34;39;48;18;17;7868;D;11.96;30.54;61;540;540;226;92;88;83;30;20;88.69;13.93;15.55;14.61;15.18;10.07;7.59;11.76;9.86;1.69;11.08;69;110;37;80;24;43;177;3.61;-4.77;74;20;511;57;632;70;103;203.38;72.61;71.12;57.81;1.84;22.61;8.07;7.91;6.43;0.2;109.03;34.42;32.83;36.34;5.44;12.12;3.83;3.65;4.04;0.6;34.73;;;312.41;0;0;0;0;3.79;18.55;91;183;143;46;77;0;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;0;26;25;1;0;0;0;0;2.89;2.78;0.11;0;0;0;0;4;3;1;0.44;0.33;0.11;5;0.56;12;12;0;0;0;1.33;1.33;0;0;0;30;8;7;8;7;3.34;0.89;0.78;0.89;0.78;0;0;15;0;0;0;15;1.67;0;0;0;1.67;1;0.11;9;1;34;10;24;3.78;1.11;2.67;79;0;15;21;21;14;8;8.78;0;1.67;2.33;2.33;1.56;0.89;12;5;4;3;0;0;1.33;0.56;0.44;0.33;0;0;22;3;19;2.45;0.33;2.11
