,Group Id,Player ID,Position,Distance (m),Distance / min (m),Time on Ice (s),High Metabolic Power Distance (m),High Metabolic Power Distance / min (m),Accelerations (high),Accelerations (very high),Acceleration Load (max.),Speed (max.) (km/h),Speed (Ø) (km/h),Acceleration (max.) (m/s²),Deceleration (max.) (m/s²),Accelerations,Decelerations
0,1,63,1,5145,141.76852191689034,2300,689.0,23.957418491761977,4,1,8.364230322326245,21.076497629632726,11.406490276001655,2.321341025899192,-3.475886861827247,7,9
1,1,64,1,5528,145.51275939510327,2056,814.0,28.44006023548448,4,1,7.343129771118625,22.534045254861336,10.624682827437882,2.6128834694734877,-3.799986408771459,6,10
2,1,65,1,5565,120.20875318205395,2248,749.0,22.166112194405745,4,1,9.298779926575497,20.043337984680687,11.457403605479428,2.2078902877428375,-3.4745652641546494,7,7
3,1,66,1,5402,138.1264845989685,2754,820.0,24.662552744411457,5,1,9.742959696503947,21.916144287474467,10.035554981692613,1.9463289679927327,-3.445016415150206,6,9
4,1,67,1,5437,140.240917255762,2451,725.0,19.571699300377645,5,1,9.545881970426702,24.294781991665072,13.142618567547743,2.0423035898175463,-3.888619472941315,8,10
5,1,68,1,6034,159.58348818456045,2502,664.0,23.065591776738952,4,1,7.084569263943987,19.85306832218602,11.019817356301354,2.2960230279861666,-3.0069681568527735,6,10
6,1,69,3,5805,164.06699915699062,2052,723.0,24.11202146607315,5,1,7.622023221964024,21.014786686210122,13.371381170053196,2.1666590600278166,-3.6945330293576366,6,10
7,1,70,3,4257,128.63075179574113,2386,593.0,26.776685869778486,5,1,9.87503214323524,19.08739977780846,12.38790353365209,2.732757863265436,-4.166275349717088,6,7
8,1,71,3,5636,129.98463036995528,2388,635.0,27.288009062843024,4,1,9.559702077358613,20.80412185413035,11.857949081079326,2.464336520839459,-3.787434955507309,8,8
9,1,72,3,5747,117.15503867388338,1930,696.0,19.91688154353821,4,1,8.68474784801067,24.34506176028637,11.970972587281878,2.641353919098713,-3.7366431033091527,6,8
10,1,73,3,4964,153.42739430772968,2145,799.0,20.563647144841653,4,1,7.9871424614697,23.527413832060567,13.120318118439737,1.9552421492269145,-3.42674035655025,8,8
11,1,74,3,5615,117.66202990234841,2076,568.0,26.282100739369334,4,1,6.816597421722955,19.398856859662832,9.396583108201908,2.5646847663971837,-3.1294977696475508,7,8
12,1,75,2,5905,142.0462558905464,2021,614.0,24.38182968791296,4,1,6.966148646270464,21.704414336629466,10.497065654656872,2.662469063683865,-4.059421377861163,7,8
13,1,76,2,4192,157.45277030345315,2019,762.0,28.09402221032214,5,1,7.947354788064189,16.958175014366862,12.087110277860297,2.4707916690403082,-2.8946074961776005,6,8
14,1,77,2,6009,124.97411050932558,2527,592.0,19.606813528245564,4,1,7.909166040041295,20.94618295473812,10.888468403520251,2.626361593044669,-3.4911357991855687,6,7
15,1,78,2,4466,165.93438140811412,2528,681.0,21.074449088809622,4,1,8.347288620840134,20.424027001601406,11.685515402289898,2.271089144862076,-3.2613366193648,7,9
16,1,79,2,4836,160.52928396389711,2449,813.0,28.252241300003547,4,1,6.976226451616,22.353973084366576,10.922109601347174,2.0767805042736973,-3.769810892753811,7,7
17,1,80,2,4836,125.93435887058124,2134,741.0,22.77721294509973,5,1,7.687479753288544,17.38277330521245,13.113855067477825,2.18124450075032,-3.2417002868870375,6,9
